iter	Passed	Remaining
0	1	261
1	4	559
2	8	658
3	12	714
4	15	729
5	19	746
6	23	749
7	26	751
8	30	765
9	34	768
10	37	767
11	41	765
12	44	763
13	48	760
14	48	712
15	52	713
16	52	672
17	56	673
18	59	675
19	63	676
20	66	676
21	70	677
22	73	676
23	77	679
24	81	680
25	84	679
26	88	678
27	92	677
28	95	677
29	97	664
30	101	662
31	104	661
32	108	659
33	111	656
34	115	654
35	118	653
36	122	651
37	125	649
38	127	638
39	131	636
40	134	634
41	138	632
42	142	630
43	145	628
44	147	619
45	151	617
46	154	615
47	155	603
48	159	601
49	162	598
50	166	595
51	167	587
52	171	585
53	174	582
54	178	580
55	181	577
56	185	575
57	188	573
58	192	570
59	195	568
60	199	565
61	202	562
62	204	555
63	208	552
64	208	541
65	211	538
66	215	536
67	217	530
68	220	527
69	224	525
70	227	522
71	231	520
72	234	517
73	238	515
74	241	512
75	245	510
76	248	507
77	252	504
78	255	501
79	259	498
80	261	493
81	264	490
82	268	487
83	271	485
84	275	482
85	277	476
86	280	474
87	284	471
88	287	468
89	290	465
90	294	462
91	298	459
92	301	457
93	305	454
94	308	451
95	311	448
96	315	445
97	319	442
98	322	439
99	325	436
100	326	430
101	330	427
102	334	425
103	337	422
104	339	417
105	340	411
106	344	408
107	347	405
108	351	402
109	354	400
110	358	397
111	361	394
112	365	391
113	366	385
114	369	382
115	373	379
116	376	376
117	380	373
118	383	370
119	387	367
120	390	364
121	394	361
122	397	358
123	401	355
124	404	352
125	408	349
126	411	346
127	415	343
128	415	338
129	418	335
130	422	331
131	425	328
132	429	325
133	430	321
134	433	318
135	437	315
136	440	312
137	444	309
138	447	306
139	451	302
140	454	299
141	456	295
142	460	292
143	463	289
144	467	286
145	470	283
146	474	280
147	477	277
148	481	274
149	484	271
150	488	268
151	491	265
152	495	262
153	499	259
154	502	256
155	505	252
156	509	249
157	513	246
158	516	243
159	519	240
160	523	237
161	526	234
162	530	231
163	533	227
164	537	224
165	540	221
166	544	218
167	547	215
168	551	212
169	555	208
170	558	205
171	561	202
172	565	199
173	568	196
174	572	193
175	576	189
176	579	186
177	583	183
178	586	180
179	590	177
180	593	173
181	597	170
182	600	167
183	604	164
184	607	160
185	611	157
186	614	154
187	618	151
188	621	147
189	624	144
190	628	141
191	631	138
192	635	134
193	638	131
194	642	128
195	645	125
196	649	121
197	652	118
198	656	115
199	659	112
200	663	108
201	666	105
202	670	102
203	673	99
204	677	95
205	680	92
206	684	89
207	687	85
208	691	82
209	694	79
210	698	76
211	701	72
212	705	69
213	708	66
214	712	62
215	715	59
216	718	56
217	722	53
218	725	49
219	729	46
220	732	43
221	736	39
222	739	36
223	743	33
224	746	29
225	750	26
226	753	23
227	757	19
228	760	16
229	764	13
230	767	9
231	771	6
232	774	3
233	778	0
