Cheval;Âge;Sexe;Race;Courses;Victoires;Places;Allocation tot.;Prime Prop.;Alloc. + Prime Prop.;Gain moyen;Valeur
CAMILLE PISSARRO;3;M;PUR SANG;2;1;1;931395,00;0,00;931395,00;465697,50;525.0
GEZORA;3;F;PUR SANG;3;2;1;657500,00;253137,00;910637,00;219166,67;510.0
DIEGO VELAZQUEZ;4;M;PUR SANG;1;1;0;571400,00;0,00;571400,00;571400,00;535.0
CUALIFICAR;3;M;PUR SANG;5;3;2;455615,00;0,00;455615,00;91123,00;520.0
LEFFARD;3;M;PUR SANG;5;3;1;376340,00;93693,00;470033,00;75268,00;525.0
HENRI MATISSE;3;M;PUR SANG;1;1;0;371410,00;0,00;371410,00;371410,00;535.0
WOODSHAUNA;3;M;PUR SANG;6;3;3;358494,00;119273,00;477767,00;59749,00;525.0
ZARIGANA;3;F;PUR SANG;2;2;0;354270,00;133709,00;487979,00;177135,00;510.0
SOSIE;4;M;PUR SANG;2;2;0;314270,00;103708,00;417978,00;157135,00;550.0
CANDELARI;4;H;PUR SANG;4;3;1;273060,00;95449,00;368509,00;68265,00;535.0
SAJIR;4;M;PUR SANG;3;2;1;266132,00;0,00;266132,00;88710,67;545.0
QUISISANA;5;F;PUR SANG;3;3;0;264010,00;61664,00;325674,00;88003,33;525.0
BEDTIME STORY;3;F;PUR SANG;3;0;2;240040,00;0,00;240040,00;80013,33;505.0
NOTABLE SPEECH;4;M;PUR SANG;1;0;1;228600,00;0,00;228600,00;228600,00;530.0
CALANDAGAN;4;H;PUR SANG;1;1;0;228560,00;0,00;228560,00;228560,00;575.0
TRINITY COLLEGE;3;M;PUR SANG;2;0;2;222810,00;0,00;222810,00;111405,00;520.0
AVENTURE;4;F;PUR SANG;3;2;1;205540,00;81520,00;287060,00;68513,33;535.0
CANKOURA;3;F;PUR SANG;6;3;2;201400,00;103044,00;304444,00;33566,67;500.0
VENETIAN SUN;2;F;PUR SANG;1;1;0;199990,00;0,00;199990,00;199990,00;485.0
LUWSAIL;5;M;ARABE;2;1;1;185000,00;16500,00;201500,00;92500,00;560.0
MAP OF STARS;4;M;PUR SANG;3;2;1;182680,00;73976,00;256656,00;60893,33;540.0
MARANOA CHARLIE;3;M;PUR SANG;4;2;2;179440,00;84288,00;263728,00;44860,00;520.0
DETAIN;3;M;PUR SANG;2;0;1;171450,00;0,00;171450,00;85725,00;500.0
FALLEN ANGEL;4;F;PUR SANG;1;1;0;171420,00;0,00;171420,00;171420,00;505.0
YELLOW JERSEY;3;H;PUR SANG;3;3;0;168650,00;28987,00;197637,00;56216,67;495.0
ARROW EAGLE;4;M;PUR SANG;4;4;0;162100,00;72945,00;235045,00;40525,00;500.0
MANDANABA;3;F;PUR SANG;4;1;2;159965,00;69588,00;229553,00;39991,25;505.0
JONQUIL;3;M;PUR SANG;1;0;1;148590,00;0,00;148590,00;148590,00;510.0
SHES PERFECT;3;F;PUR SANG;3;0;2;141730,00;0,00;141730,00;47243,33;510.0
SEVENNA'S KNIGHT;5;M;PUR SANG;5;0;5;140822,00;0,00;140822,00;28164,40;515.0
CAPE ORATOR;2;M;PUR SANG;1;1;0;130000,00;0,00;130000,00;130000,00;
DARYZ;3;M;PUR SANG;4;4;0;129100,00;96825,00;225925,00;32275,00;505.0
LAZZAT;4;H;PUR SANG;3;1;2;127068,00;35463,00;162531,00;42356,00;545.0
SIBAYAN;4;H;PUR SANG;4;2;2;125930,00;56668,00;182598,00;31482,50;500.0
DOUBLE MAJOR;5;H;PUR SANG;4;1;3;125357,00;55036,00;180393,00;31339,25;505.0
GODSPEED;3;F;PUR SANG;6;2;3;120930,00;81276,00;202206,00;20155,00;495.0
SURVIE;4;F;PUR SANG;2;0;2;120040,00;31158,00;151198,00;60020,00;505.0
DANCING GEMINI;4;M;PUR SANG;1;0;1;114300,00;0,00;114300,00;114300,00;535.0
SUNLY;3;F;PUR SANG;4;3;1;107180,00;0,00;107180,00;26795,00;465.0
UTHER;3;M;PUR SANG;5;1;4;104580,00;59592,00;164172,00;20916,00;505.0
ALOHI ALII;3;M;PUR SANG;1;1;0;104310,00;0,00;104310,00;104310,00;500.0
MY HIGHNESS;2;F;PUR SANG;4;3;1;104080,00;0,00;104080,00;26020,00;490.0
GOOD GIFT;6;H;PUR SANG;10;2;7;102620,00;46179,00;148799,00;10262,00;475.0
PRESAGE NOCTURNE;5;M;PUR SANG;3;1;2;100122,00;39567,00;139689,00;33374,00;515.0
SILIUS;3;M;PUR SANG;7;3;3;98480,00;73860,00;172340,00;14068,57;480.0
CAMPACITE;2;M;PUR SANG;4;3;1;97180,00;24134,00;121314,00;24295,00;500.0
LATAKIA;4;F;PUR SANG;4;3;0;96280,00;0,00;96280,00;24070,00;470.0
LANZELOT GOLD;4;M;PUR SANG;7;2;3;95760,00;43092,00;138852,00;13680,00;455.0
HORIZON DORE;5;H;PUR SANG;5;1;3;95755,00;38630,00;134385,00;19151,00;515.0
HAJMAH;4;F;ARABE;3;2;1;93500,00;33075,00;126575,00;31166,67;525.0
TRIBALIST;6;M;PUR SANG;3;1;2;92680,00;0,00;92680,00;30893,33;525.0
CONTENTIOUS SOUL;4;H;PUR SANG;5;2;3;92530,00;41637,00;134167,00;18506,00;445.0
BETTER TOGETHER;3;F;PUR SANG;4;2;1;92330,00;0,00;92330,00;23082,50;505.0
RB KINGMAKER;6;M;ARABE;3;2;1;90000,00;0,00;90000,00;30000,00;575.0
MURAAD;5;M;ARABE;3;1;2;90000,00;15600,00;105600,00;30000,00;555.0
BIBBIENA;4;F;PUR SANG;7;4;3;89435,00;40245,00;129680,00;12776,43;445.0
NEW GROUND;3;M;PUR SANG;3;0;3;88830,00;0,00;88830,00;29610,00;505.0
TUMBLER;6;H;PUR SANG;6;2;4;87040,00;39167,00;126207,00;14506,67;475.0
TOPGEAR;6;M;PUR SANG;2;1;1;85868,00;35923,00;121791,00;42934,00;515.0
KAADI;3;F;PUR SANG;8;3;4;85650,00;0,00;85650,00;10706,25;485.0
RAFALE DESIGN;3;M;PUR SANG;3;2;1;84000,00;0,00;84000,00;28000,00;480.0
GRAND STARS;4;F;PUR SANG;4;0;4;83370,00;0,00;83370,00;20842,50;505.0
FIRST LOOK;4;H;PUR SANG;4;2;2;82900,00;37305,00;120205,00;20725,00;505.0
GSTAAD;2;M;PUR SANG;1;0;1;80010,00;0,00;80010,00;80010,00;515.0
NORTHERN CHAMPION;2;M;PUR SANG;1;1;0;80000,00;0,00;80000,00;80000,00;
ROSE GHAIYYATH;2;F;PUR SANG;1;1;0;80000,00;0,00;80000,00;80000,00;
IMPERIAL ME CEN;2;M;PUR SANG;6;2;3;79530,00;59647,00;139177,00;13255,00;455.0
CAMBRONNE;5;H;PUR SANG;8;3;4;78660,00;35397,00;114057,00;9832,50;465.0
STOLEN KISS;3;M;PUR SANG;8;3;4;77750,00;58312,00;136062,00;9718,75;470.0
