Name;Chevaux;Partants;Victoires;Places;Allocation tot.;Prime Prop.;Alloc. + Prime Prop.;Prim. Eleveur;Gain/Part.;Gain/Chev.;Course/Chev.
CRISTIAN DEMURO;601;1020;156;518;4433551,00;1895038,00;6328589,00;619061,00;4346,62;7377;2
MAXIME GUYON;557;939;148;492;4589184,00;2048566,00;6637750,00;583848,00;4887,31;8239;2
MICKAEL BARZALONA;372;600;114;325;4299014,00;1822663,00;6121677,00;544657,00;7165,02;11556;2
ALEXIS POUCHIN;367;619;86;335;2755942,00;1096880,00;3852822,00;337421,00;4452,25;7509;2
AUGUSTIN MADAMET;417;760;77;382;1898834,00;869588,00;2768422,00;274393,00;2498,47;4554;2
ANTONIO ORANI;242;437;58;225;1031458,00;502663,00;1534121,00;168137,00;2360,32;4262;2
TONY PICCONE;272;593;56;266;1500346,00;663915,00;2164261,00;214681,00;2530,09;5516;2
MARVIN GRANDIN;226;452;55;236;1161824,00;608802,00;1770626,00;195239,00;2570,41;5141;2
CLEMENT LECOEUVRE;347;625;54;316;2019525,00;865048,00;2884573,00;284517,00;3231,24;5820;2
STEPHANE PASQUIER;249;469;54;219;1815531,00;907502,00;2723033,00;273469,00;3871,07;7291;2
CHRISTOPHE SOUMILLON;240;345;54;184;3993113,00;1171362,00;5164475,00;416501,00;11574,24;16638;1
THEO BACHELOT;351;571;50;261;1292277,00;656379,00;1948656,00;204284,00;2263,18;3682;2
MME DELPHINE SANTIAGO;191;420;50;185;668959,00;304093,00;973052,00;112294,00;1592,76;3502;2
MME MARIE VELON;299;567;49;268;1167322,00;574348,00;1741670,00;193416,00;2058,77;3904;2
ANTHONY CRASTUS;368;639;47;306;1156984,00;561663,00;1718647,00;197046,00;1810,62;3144;2
GUILLAUME GUEDJ-GAY;160;307;44;165;762955,00;351579,00;1114534,00;135459,00;2485,20;4768;2
AURELIEN LEMAITRE;344;545;42;238;1496230,00;708464,00;2204694,00;219125,00;2745,38;4350;2
HUGO LEBOUC;246;416;41;196;675324,00;339338,00;1014662,00;122800,00;1623,38;2745;2
DORIAN PROVOST;158;267;39;122;635436,00;299168,00;934604,00;106017,00;2379,91;4022;2
HUGO BESNIER;163;341;37;178;811708,00;457439,00;1269147,00;141280,00;2380,38;4980;2
HUGO JOURNIAC;155;300;36;131;659267,00;390517,00;1049784,00;122889,00;2197,56;4253;2
PIERRE REMOUE;154;244;36;117;422990,00;190868,00;613858,00;71044,00;1733,57;2747;2
HUGO BOUTIN;225;434;32;209;747936,00;377904,00;1125840,00;134597,00;1723,35;3324;2
MALONE FAVRIAUX;213;332;32;172;694949,00;327629,00;1022578,00;105994,00;2093,22;3263;2
JEROME MOUTARD;155;263;32;104;481181,00;212102,00;693283,00;79605,00;1829,59;3104;2
JEAN-BERNARD EYQUEM;84;140;32;67;583752,00;352146,00;935898,00;99710,00;4169,66;6949;2
FABRICE VERON;297;475;29;227;745487,00;332269,00;1077756,00;132617,00;1569,45;2510;2
GIOVANNI SIAS;230;373;28;145;499746,00;224831,00;724577,00;75359,00;1339,80;2173;2
ALEXANDRE GAVILAN;137;252;28;123;463289,00;183348,00;646637,00;82166,00;1838,45;3382;2
