iter	QueryRMSE
0	3.976146796
1	3.943070301
2	3.907160639
3	3.878272597
4	3.847507697
5	3.819470656
6	3.790160919
7	3.763197529
8	3.732730598
9	3.700113133
10	3.671371066
11	3.639194486
12	3.608717708
13	3.579891125
14	3.553044446
15	3.524492027
16	3.497907077
17	3.464527056
18	3.436451751
19	3.410385791
20	3.381973471
21	3.35512086
22	3.325113441
23	3.298914348
24	3.271886226
25	3.249265659
26	3.224794905
27	3.20128195
28	3.175316747
29	3.150709469
30	3.126671824
31	3.109562323
32	3.08430096
33	3.062300161
34	3.037778205
35	3.015399274
36	2.990728762
37	2.966899774
38	2.938900505
39	2.915232406
40	2.893178514
41	2.869623999
42	2.842715624
43	2.817383846
44	2.790267415
45	2.768452917
46	2.749739199
47	2.730277003
48	2.704329011
49	2.684344132
50	2.667248343
51	2.643178143
52	2.621074097
53	2.603712581
54	2.582255932
55	2.56141955
56	2.545252729
57	2.523556424
58	2.501251066
59	2.48231978
60	2.460381833
61	2.440210096
62	2.421533243
63	2.40522002
64	2.394999357
65	2.373515412
66	2.351340887
67	2.332098874
68	2.314971917
69	2.295021666
70	2.275029432
71	2.259500535
72	2.242585485
73	2.229210262
74	2.212621095
75	2.191324065
76	2.17489868
77	2.159280226
78	2.14066783
79	2.123577948
80	2.108928193
81	2.091247982
82	2.075516774
83	2.058162619
84	2.041847286
85	2.026689449
86	2.011712292
87	1.994524094
88	1.975144493
89	1.958994828
90	1.944001537
91	1.926985614
92	1.910169403
93	1.895577726
94	1.88187367
95	1.867215631
96	1.852986506
97	1.836915297
98	1.822292996
99	1.810318752
100	1.793547502
101	1.778440841
102	1.767841957
103	1.753991595
104	1.742528874
105	1.726781335
106	1.711635235
107	1.699057762
108	1.685549718
109	1.672225033
110	1.658617157
111	1.644072048
112	1.628800141
113	1.61818381
114	1.605212967
115	1.592049459
116	1.578196315
117	1.565183649
118	1.551641282
119	1.538708088
120	1.524592855
121	1.51228102
122	1.499035026
123	1.488298356
124	1.476728721
125	1.464658198
126	1.453732149
127	1.441038333
128	1.429445436
129	1.418576569
130	1.40596985
131	1.394307131
132	1.382856359
133	1.37339499
134	1.361108904
135	1.350246505
136	1.33891937
137	1.32854786
138	1.318483061
139	1.308054682
140	1.300114286
141	1.288695339
142	1.277553126
143	1.266229235
144	1.255028373
145	1.242896319
146	1.232794871
147	1.223274016
148	1.213715477
149	1.202256032
150	1.192946677
151	1.182382123
152	1.172236197
153	1.161626162
154	1.151533573
155	1.140031718
156	1.130212363
157	1.120118507
158	1.111339794
159	1.101023869
160	1.093112346
161	1.084105907
162	1.073878046
163	1.06482027
164	1.056050378
165	1.047224171
166	1.038141429
167	1.029201602
168	1.020204364
169	1.010739035
170	1.001218472
171	0.9918002051
172	0.9835727191
173	0.9752055877
174	0.9666454685
175	0.9574226096
176	0.9493710336
177	0.9397806144
178	0.9315244969
179	0.9221176324
180	0.9141550334
181	0.9065174021
182	0.898795859
183	0.8909973556
184	0.8821006032
185	0.8745452373
186	0.8671318588
187	0.8596804668
188	0.850914682
189	0.843482113
190	0.8347473895
191	0.8267561255
192	0.8203445824
193	0.813164977
194	0.8058421926
195	0.7989306385
196	0.791436132
197	0.7832654437
198	0.7754656558
199	0.7670125338
200	0.7583870996
201	0.7505594554
202	0.7439219354
203	0.7371926252
204	0.7308111145
205	0.7246277532
206	0.7176629096
207	0.7115373909
208	0.7053396651
209	0.6985353364
210	0.6927530171
211	0.6862899875
212	0.6795157352
213	0.6737028376
214	0.667541932
215	0.660812642
216	0.6544815273
217	0.6488866465
218	0.6430192705
219	0.6373759754
220	0.6318547809
221	0.6265071123
222	0.6210915099
223	0.6154113082
224	0.6100743897
225	0.6046382175
226	0.5993057189
227	0.5941940419
228	0.5890173168
229	0.5829985758
230	0.578003393
231	0.5725769249
232	0.5665674023
233	0.5612922127
