COURSE_ID;HIPPODROME_ID;DATE;REUNION;DISCIPLINE;PISTE_COURSE;TYPE_COURSE;DISTANCE;NOMBRE_PARTANT_COURSE;ALLOCATION_TOTAL_COURSE;CORDE;ETAT_TERRAIN;PENETROMETRIE;VENT_COURSE;TEMPERATURE_COURSE;CHRONO_COURSE;PLACE_CHEVAL;NUMERO_CHEVAL;CHEVAL_ID;JOCKEY_ID;ENTRAINEUR_ID;SEXE_CHEVAL;AGE_CHEVAL;STALLE_CHEVAL;VALEUR_HANDICAP_CHEVAL;POIDS_CHEVAL;MUSIQUE_CHEVAL;COTE_CHEVAL;GAINS_TOTAL_CHEVAL;GAIN_TOTAL_VICTOIRE_CHEVAL;GAIN_TOTAL_ANNEE_CHEVAL;NOMBRE_COURSE_TOTAL_CHEVAL;POURCENTAGE_GAIN_VICTOIRE_TOTAL_CHEVAL;POURCENTAGE_GAIN_ANNEE_CHEVAL;NOMBRE_VICTOIRE_TOTAL_CHEVAL;POURCENTAGE_VICTOIRE_CHEVAL;NOMBRE_PLACE_TOTAL_CHEVAL;POURCENTAGE_PLACE_TOTAL_CHEVAL;AUTRE_PLACE_TOTAL_CHEVAL;POURCENTAGE_AUTRE_TOTAL_CHEVAL
3;1;20250826;R1;P;PSF;CH;1900;15;12500;D;PSF_L;;22;21;119.74;1;8;PRINCESS LAURA;FABIEN LEFEBVRE;S. GOUVAZE (S);F;5;3;16;57;7p4p0p7p4p0p5p1p(24)2p;9.3;27490;7500;9730;43;0.27;0.35;1;0.02;5;0.12;37;0.86
3;1;20250826;R1;P;PSF;CH;1900;15;12500;D;PSF_L;;22;21;119.74;2;4;NOT SO SILLY;BENJAMIN MARIE;D. DE WAELE;H;7;8;17.5;58.5;2p7p7p0p7p4p6p(24)0p0p;3.1;94060;43750;5345;58;0.47;0.06;5;0.09;8;0.14;45;0.78
3;1;20250826;R1;P;PSF;CH;1900;15;12500;D;PSF_L;;22;21;119.74;3;11;PRINCEDESCHAMPS;LUDOVIC BOISSEAU;MME C. AUVRAY;H;7;5;15.5;56.5;0p0p0p0p9p0p9p8p(24)1p;39;76620;39750;0;71;0.52;0;5;0.07;9;0.13;57;0.8
3;1;20250826;R1;P;PSF;CH;1900;15;12500;D;PSF_L;;22;21;119.74;4;12;ECLAIR DE VATI;MME DELPHINE SANTIAGO;T. POCHE;H;7;2;15.5;55;0p9p5p9p3p6p3p6p5p8p;30;22041;7000;5561;33;0.32;0.25;1;0.03;4;0.12;28;0.85
3;1;20250826;R1;P;PSF;CH;1900;15;12500;D;PSF_L;;22;21;119.74;5;6;ANONYME;MME FRIDA VALLE SKAR;A. SAGOT;H;9;12;17;56.5;3p8p7p0p0p0p(24)1p4p0p;11;48000;27000;3100;48;0.56;0.06;4;0.08;5;0.1;39;0.81
3;1;20250826;R1;P;PSF;CH;1900;15;12500;D;PSF_L;;22;21;119.74;6;7;BECH RIVER;ARTHUR MOSSE;M. GONZALEZ (S);H;7;15;16;57;0p6p2p3p0p2p0p2p5p6p;24;111093;44000;10808;99;0.4;0.1;5;0.05;18;0.18;76;0.77
3;1;20250826;R1;P;PSF;CH;1900;15;12500;D;PSF_L;;22;21;119.74;7;2;LADYBUG;MME SOPHIE CHUETTE;MME D. DOMMINGER;F;8;11;18;57.5;6p2p7p6p8p1p5p9p6p0p;32;78401;33750;12186;55;0.43;0.16;4;0.07;9;0.16;42;0.76
3;1;20250826;R1;P;PSF;CH;1900;15;12500;D;PSF_L;;22;21;119.74;8;5;ALPENGEIST;CRISTIAN DEMURO;J. LEROY;H;8;4;17;58;3p0p4p4p3p9p7p2p4p;6;61917;23000;9902;65;0.37;0.16;3;0.05;7;0.11;55;0.85
3;1;20250826;R1;P;PSF;CH;1900;15;12500;D;PSF_L;;22;21;119.74;9;1;TERTULIANE BLOOM;MME JULIA LACROIX;P. LACROIX;F;5;9;19;57.5;7p4p0p0p0p3p0p0p(24)5p;33;19372;0;2972;24;0;0.15;0;0;4;0.17;20;0.83
3;1;20250826;R1;P;PSF;CH;1900;15;12500;D;PSF_L;;22;21;119.74;10;15;EVER READY;MME CORALIE PACAUT;F. CARNEVALI;H;5;10;15;54.5;7p0p(24)0p9p0p6p0p8p4p;100;10450;7500;300;24;0.72;0.03;1;0.04;0;0;23;0.96
