COURSE_ID;HIPPODROME_ID;DATE;REUNION;DISCIPLINE;PISTE_COURSE;TYPE_COURSE;DISTANCE;NOMBRE_PARTANT_COURSE;ALLOCATION_TOTAL_COURSE;CORDE;ETAT_TERRAIN;PENETROMETRIE;VENT_COURSE;TEMPERATURE_COURSE;CHRONO_COURSE;PLACE_CHEVAL;NUMERO_CHEVAL;CHEVAL_ID;JOCKEY_ID;ENTRAINEUR_ID;SEXE_CHEVAL;AGE_CHEVAL;STALLE_CHEVAL;VALEUR_HANDICAP_CHEVAL;POIDS_CHEVAL;MUSIQUE_CHEVAL;COTE_CHEVAL;GAINS_TOTAL_CHEVAL;GAIN_TOTAL_VICTOIRE_CHEVAL;GAIN_TOTAL_ANNEE_CHEVAL;NOMBRE_COURSE_TOTAL_CHEVAL;POURCENTAGE_GAIN_VICTOIRE_TOTAL_CHEVAL;POURCENTAGE_GAIN_ANNEE_CHEVAL;NOMBRE_VICTOIRE_TOTAL_CHEVAL;POURCENTAGE_VICTOIRE_CHEVAL;NOMBRE_PLACE_TOTAL_CHEVAL;POURCENTAGE_PLACE_TOTAL_CHEVAL;AUTRE_PLACE_TOTAL_CHEVAL;POURCENTAGE_AUTRE_TOTAL_CHEVAL
7;9;20250827;R4;P;HE;CH;3400;14;16300;D;TS;3.8;16;22;242.82;1;5;STELLA MARINA;EDDY HARDOUIN;M. WEBER;F;5;13;26;59;4p1p5p4p0p5p(24)8p0p2p;6.7;18785;11950;10935;14;0.64;0.58;2;0.14;1;0.07;11;0.79
7;9;20250827;R4;P;HE;CH;3400;14;16300;D;TS;3.8;16;22;242.82;2;11;LOVEBIRD;MME DELPHINE SANTIAGO;W. KUJATH;F;5;4;20;51.5;1p0p1p2p0p8p(24)0p6p2p;8.5;22600;12650;10050;15;0.56;0.44;3;0.2;4;0.27;8;0.53
7;9;20250827;R4;P;HE;CH;3400;14;16300;D;TS;3.8;16;22;242.82;3;7;MATGIWELL;HUGO BOUTIN;MME N. BENTLEY;F;5;2;25;58;7p6p7p5p4p1p8p3p6p6p;10;37546;23500;23746;26;0.63;0.63;3;0.12;5;0.19;18;0.69
7;9;20250827;R4;P;HE;CH;3400;14;16300;D;TS;3.8;16;22;242.82;4;8;DIANA;DAVID BREUX;MME J. MAYER;F;7;6;25;58;4p4p9p(24)8p8p0p8p5p1p;8.2;64928;17500;2768;44;0.27;0.04;2;0.05;8;0.18;34;0.77
7;9;20250827;R4;P;HE;CH;3400;14;16300;D;TS;3.8;16;22;242.82;5;9;PROUD LUCY;AUGUSTIN MADAMET;M. SEROR (S);F;4;7;25;58;6h3h2h2h(24)1h1h1p4p4p;3.8;12950;8500;0;8;0.66;0;1;0.13;0;0;7;0.88
7;9;20250827;R4;P;HE;CH;3400;14;16300;D;TS;3.8;16;22;242.82;6;1;MAC LA TAMBOUILLE;GUILLAUME TROLLEY DE PREVAUX;MME Y. VOLLMER;H;7;10;27;60;2p0p0p2p3p0p1p(24)9p1p;7.9;105906;65000;19466;49;0.61;0.18;7;0.14;8;0.16;34;0.69
7;9;20250827;R4;P;HE;CH;3400;14;16300;D;TS;3.8;16;22;242.82;7;6;CAPTAIN EAGLE;BENJAMIN MARIE;MME S. GEFFRIAUD;H;7;1;26;59;8p5p(24)0p3p0p3p7p3p;13;41055;19000;640;26;0.46;0.02;3;0.12;8;0.31;15;0.58
7;9;20250827;R4;P;HE;CH;3400;14;16300;D;TS;3.8;16;22;242.82;8;12;MASTER LIGHT;BERTRAND FLANDRIN;MME R. PHILIPPON;H;5;11;19;53;9h8h6h3h(24)7h6h5h4h7h;34;12525;0;0;13;0;0;0;0;3;0.23;10;0.77
7;9;20250827;R4;P;HE;CH;3400;14;16300;D;TS;3.8;16;22;242.82;9;10;FIRSTCLASS;GIOVANNI SIAS;A. ACKER (S);H;6;14;22;55;8p7hJsAh(24)AhAh(23)Th9p;85;1500;0;0;3;0;0;0;0;1;0.33;2;0.67
7;9;20250827;R4;P;HE;CH;3400;14;16300;D;TS;3.8;16;22;242.82;10;3;GARIGLIANO;ENZO CORALLO;B. BOSSERT;H;8;3;27;60;9p7p6p8p0p5p5p8p0p;35;123937;52500;2037;74;0.42;0.02;6;0.08;12;0.16;56;0.76
7;9;20250827;R4;P;HE;CH;3400;14;16300;D;TS;3.8;16;22;242.82;11;14;ALWAYS DANCING;STEPHANE BREUX;U. SCHWINN;F;8;9;15;52.5;9p0p0p5p(24)0p4p0p9p9p;38;31085;16500;560;45;0.53;0.02;2;0.04;3;0.07;40;0.89
7;9;20250827;R4;P;HE;CH;3400;14;16300;D;TS;3.8;16;22;242.82;12;2;CANDYMAN;LUDOVIC BOISSEAU;MME Y. VOLLMER;H;4;5;27;60;0p5p3p9p0p9p(24)2p1p3p;14;31610;8500;4460;19;0.27;0.14;1;0.05;5;0.26;13;0.68
7;9;20250827;R4;P;HE;CH;3400;14;16300;D;TS;3.8;16;22;242.82;13;4;WILD N'BEAUTIFUL;JEROME MOUTARD;U. SCHWINN;H;4;8;27;60;0p0p0p5p0p;48;750;0;750;5;0;1;0;0;0;0;5;1
7;9;20250827;R4;P;HE;CH;3400;14;16300;D;TS;3.8;16;22;242.82;14;13;JUPITER DES ROCS;MME SARAH AKARI-SOUIDANE;M. SCHIESTEL;H;4;12;15.5;48.5;4p6p7p9p0p7p8p8pJp;52;5831;0;1381;24;0;0.24;0;0;1;0.04;23;0.96
