COURSE_ID;HIPPODROME_ID;DATE;REUNION;DISCIPLINE;PISTE_COURSE;TYPE_COURSE;DISTANCE;NOMBRE_PARTANT_COURSE;ALLOCATION_TOTAL_COURSE;CORDE;ETAT_TERRAIN;PENETROMETRIE;VENT_COURSE;TEMPERATURE_COURSE;CHRONO_COURSE;PLACE_CHEVAL;NUMERO_CHEVAL;CHEVAL_ID;JOCKEY_ID;ENTRAINEUR_ID;SEXE_CHEVAL;AGE_CHEVAL;STALLE_CHEVAL;VALEUR_HANDICAP_CHEVAL;POIDS_CHEVAL;MUSIQUE_CHEVAL;COTE_CHEVAL;GAINS_TOTAL_CHEVAL;GAIN_TOTAL_VICTOIRE_CHEVAL;GAIN_TOTAL_ANNEE_CHEVAL;NOMBRE_COURSE_TOTAL_CHEVAL;POURCENTAGE_GAIN_VICTOIRE_TOTAL_CHEVAL;POURCENTAGE_GAIN_ANNEE_CHEVAL;NOMBRE_VICTOIRE_TOTAL_CHEVAL;POURCENTAGE_VICTOIRE_CHEVAL;NOMBRE_PLACE_TOTAL_CHEVAL;POURCENTAGE_PLACE_TOTAL_CHEVAL;AUTRE_PLACE_TOTAL_CHEVAL;POURCENTAGE_AUTRE_TOTAL_CHEVAL
7;7;20250829;R4;P;HE;CH;1600;15;16300;D;TS;3.8;30;21.0;104.21;1;11;JORDAN BAKER;MAEL LE CALLONEC;P. NICOT (S);H;6;14;24.5;54.0;5p2p5p9p0p9p3p5p3p5p;10.0;114357;46500;12137;69;0.41;0.11;5;0.07;13;0.19;51;0.74
7;7;20250829;R4;P;HE;CH;1600;15;16300;D;TS;3.8;30;21.0;104.21;2;14;POLIVATE;VALENTIN SEGUY;A. MACEDO DA SILVA;F;7;4;23.5;54.5;8p0p4p7p7p1p2p0p4p0p;40.0;66860;25500;13810;43;0.38;0.21;3;0.07;9;0.21;31;0.72
7;7;20250829;R4;P;HE;CH;1600;15;16300;D;TS;3.8;30;21.0;104.21;3;6;WATHAB;GUILLAUME GUEDJ-GAY;RC. MONTENEGRO;H;4;15;27.0;58.0;7p3p1p2p0p0p7p5p0p0p;16.0;45734;8150;12634;28;0.18;0.28;1;0.04;10;0.36;17;0.61
7;7;20250829;R4;P;HE;CH;1600;15;16300;D;TS;3.8;30;21.0;104.21;4;7;HONG KONG STAR;ANTOINE WERLE;O. TRIGODET (S);F;8;8;26.5;57.5;6p2p6p8p0p9p5p4p(24)7p;14.0;108961;35500;5226;73;0.33;0.05;5;0.07;20;0.27;48;0.66
7;7;20250829;R4;P;HE;CH;1600;15;16300;D;TS;3.8;30;21.0;104.21;5;1;MANA MAHA;AUGUSTIN MADAMET;TJ. MARTINS NOVAIS;F;7;12;29.0;60.0;8p2p9p4p4p1p3p8p(24)1p;10.0;73120;32000;16300;38;0.44;0.22;4;0.11;10;0.26;24;0.63
7;7;20250829;R4;P;HE;CH;1600;15;16300;D;TS;3.8;30;21.0;104.21;6;4;EL TORERO;JEAN-BERNARD EYQUEM;D. MORISSON (S);H;6;3;27.5;58.5;5p5p0p5p0p4p(24)0p3p6p;8.4;62435;18000;3070;33;0.29;0.05;2;0.06;7;0.21;24;0.73
7;7;20250829;R4;P;HE;CH;1600;15;16300;D;TS;3.8;30;21.0;104.21;7;9;DRACO;ROMAIN DUBORD;A. SANCHEZ-MARTIN;H;4;11;26.0;57.0;2p1p0p8p8p6p7p4p9p7p;6.4;24797;5950;11247;18;0.24;0.45;1;0.06;5;0.28;12;0.67
7;7;20250829;R4;P;HE;CH;1600;15;16300;D;TS;3.8;30;21.0;104.21;8;2;BAILEYS TOPAZE;THOMAS BLANCHOUIN;J. BOISNARD (S);F;4;2;29.0;59.0;8p0p4p9p5p2p(24)2p4p1p;17.0;45185;13500;4960;23;0.30;0.11;2;0.09;9;0.39;12;0.52
7;7;20250829;R4;P;HE;CH;1600;15;16300;D;TS;3.8;30;21.0;104.21;9;3;HAUTE GAMME;GARY SANCHEZ;R. AVIAL SANCHEZ;H;4;9;27.5;58.5;0p2p0p0p7p0p3p7p0p2p;14.0;52867;31000;22547;27;0.59;0.43;3;0.11;5;0.19;19;0.70
7;7;20250829;R4;P;HE;CH;1600;15;16300;D;TS;3.8;30;21.0;104.21;10;8;VIRIMOON ETOILE;CRISTIAN DEMURO;CH. GOURDAIN (S);F;7;1;26.0;57.0;3p4p7p1p0p3p5p6p1p3p;6.4;82391;34250;32266;45;0.42;0.39;5;0.11;12;0.27;28;0.62
