COURSE_ID;HIPPODROME_ID;DATE;REUNION;DISCIPLINE;PISTE_COURSE;TYPE_COURSE;DISTANCE;NOMBRE_PARTANT_COURSE;ALLOCATION_TOTAL_COURSE;CORDE;ETAT_TERRAIN;PENETROMETRIE;VENT_COURSE;TEMPERATURE_COURSE;CHRONO_COURSE;PLACE_CHEVAL;NUMERO_CHEVAL;CHEVAL_ID;JOCKEY_ID;ENTRAINEUR_ID;SEXE_CHEVAL;AGE_CHEVAL;STALLE_CHEVAL;VALEUR_HANDICAP_CHEVAL;POIDS_CHEVAL;MUSIQUE_CHEVAL;COTE_CHEVAL;GAINS_TOTAL_CHEVAL;GAIN_TOTAL_VICTOIRE_CHEVAL;GAIN_TOTAL_ANNEE_CHEVAL;NOMBRE_COURSE_TOTAL_CHEVAL;POURCENTAGE_GAIN_VICTOIRE_TOTAL_CHEVAL;POURCENTAGE_GAIN_ANNEE_CHEVAL;NOMBRE_VICTOIRE_TOTAL_CHEVAL;POURCENTAGE_VICTOIRE_CHEVAL;NOMBRE_PLACE_TOTAL_CHEVAL;POURCENTAGE_PLACE_TOTAL_CHEVAL;AUTRE_PLACE_TOTAL_CHEVAL;POURCENTAGE_AUTRE_TOTAL_CHEVAL
11;8;20250829;R5;P;HE;CC;2500;13;15600;D;S;3.6;30;20.0;172.42;1;7;MY EDEN JAMES;EDDY HARDOUIN;S. CERULIS;H;3;9;;58.0;2p;4.4;4020;0;4020;1;0.00;1.00;0;0.00;1;1.00;0;0.00
11;8;20250829;R5;P;HE;CC;2500;13;15600;D;S;3.6;30;20.0;172.42;2;4;ZARTOP;MME AMBRE MOLINS;G. PANNIER;H;3;11;;56.5;4p6p3p2p6p0p2p4p(24)0p;11.0;12610;0;11610;12;0.00;0.92;0;0.00;3;0.25;9;0.75
11;8;20250829;R5;P;HE;CC;2500;13;15600;D;S;3.6;30;20.0;172.42;3;11;BELLA D'ANJOU;MME LIYA GAUBERT;E. LECOIFFIER;F;3;12;;53.0;8p;111.0;0;;;1;;;0;0.00;0;0.00;1;1.00
11;8;20250829;R5;P;HE;CC;2500;13;15600;D;S;3.6;30;20.0;172.42;4;9;LOOK OF CECCA;THEO BACHELOT;S. NIGGE (S);M;3;3;;58.0;4p;6.0;2010;0;2010;1;0.00;1.00;0;0.00;0;0.00;1;1.00
11;8;20250829;R5;P;HE;CC;2500;13;15600;D;S;3.6;30;20.0;172.42;5;12;MADISON ROQUE;PIERRE BAZIRE;N. GEORGE & A. ZETTERHOLM (S);H;3;8;;56.0;-;21.0;0;;;0;;;0;0.00;0;0.00;0;0.00
11;8;20250829;R5;P;HE;CC;2500;13;15600;D;S;3.6;30;20.0;172.42;6;6;DHIGALI;CHRISTOPHER GROSBOIS;V. CHATELLIER;M;3;1;;58.0;8p;41.0;0;;;1;;;0;0.00;0;0.00;1;1.00
11;8;20250829;R5;P;HE;CC;2500;13;15600;D;S;3.6;30;20.0;172.42;7;8;ROMIN;ROSARIO MANGIONE;X. BLANCHET (S);H;3;13;;58.0;2p2p;4.1;8400;0;8400;2;0.00;1.00;0;0.00;2;1.00;0;0.00
11;8;20250829;R5;P;HE;CC;2500;13;15600;D;S;3.6;30;20.0;172.42;8;2;BRIVIDO MOON;AXEL BARON;P. DOLLE;M;3;5;;58.0;6p4pJh;25.0;2010;0;2010;2;0.00;1.00;0;0.00;0;0.00;2;1.00
11;8;20250829;R5;P;HE;CC;2500;13;15600;D;S;3.6;30;20.0;172.42;9;10;GLYCINE DOREE;ANTHONY BERNARD;E. GRALL (S);F;3;10;;56.5;5p0p;41.0;1050;0;1050;2;0.00;1.00;0;0.00;0;0.00;2;1.00
11;8;20250829;R5;P;HE;CC;2500;13;15600;D;S;3.6;30;20.0;172.42;10;1;BLUE MARTINI;JULIEN GUILLOCHON;FR. MONFORT (S);H;3;2;;58.0;5p;12.0;0;;;1;;;0;0.00;0;0.00;1;1.00
11;8;20250829;R5;P;HE;CC;2500;13;15600;D;S;3.6;30;20.0;172.42;11;3;MONDIAL SPORT;HUGO JOURNIAC;M. BRASME (S);H;3;7;;58.0;7p;13.0;0;;;1;;;0;0.00;0;0.00;1;1.00
11;8;20250829;R5;P;HE;CC;2500;13;15600;D;S;3.6;30;20.0;172.42;12;13;IDUNA;CHRISTOPHER RAIMBAULT;L. GADBIN (S);F;3;6;;52.0;-;8.9;0;;;0;;;0;0.00;0;0.00;0;0.00
11;8;20250829;R5;P;HE;CC;2500;13;15600;D;S;3.6;30;20.0;172.42;13;5;GYPSY DEVIL;MME AMANDINE SEIGNOUX;MME V. SEIGNOUX;H;3;4;;55.5;8p;78.0;0;;;1;;;0;0.00;0;0.00;1;1.00
