COURSE_ID;HIPPODROME_ID;DATE;REUNION;DISCIPLINE;PISTE_COURSE;TYPE_COURSE;DISTANCE;NOMBRE_PARTANT_COURSE;ALLOCATION_TOTAL_COURSE;CORDE;ETAT_TERRAIN;PENETROMETRIE;VENT_COURSE;TEMPERATURE_COURSE;CHRONO_COURSE;PLACE_CHEVAL;NUMERO_CHEVAL;CHEVAL_ID;JOCKEY_ID;ENTRAINEUR_ID;SEXE_CHEVAL;AGE_CHEVAL;STALLE_CHEVAL;VALEUR_HANDICAP_CHEVAL;POIDS_CHEVAL;MUSIQUE_CHEVAL;COTE_CHEVAL;GAINS_TOTAL_CHEVAL;GAIN_TOTAL_VICTOIRE_CHEVAL;GAIN_TOTAL_ANNEE_CHEVAL;NOMBRE_COURSE_TOTAL_CHEVAL;POURCENTAGE_GAIN_VICTOIRE_TOTAL_CHEVAL;POURCENTAGE_GAIN_ANNEE_CHEVAL;NOMBRE_VICTOIRE_TOTAL_CHEVAL;POURCENTAGE_VICTOIRE_CHEVAL;NOMBRE_PLACE_TOTAL_CHEVAL;POURCENTAGE_PLACE_TOTAL_CHEVAL;AUTRE_PLACE_TOTAL_CHEVAL;POURCENTAGE_AUTRE_TOTAL_CHEVAL
12;8;20250829;R5;P;HE;CH;1800;12;19200;D;S;3.6;30;20.0;118.22;1;12;DELTA SPIRIT;CHRISTOPHER RAIMBAULT;L. GADBIN (S);H;8;9;27.5;51.5;5p4p4p0p0p1p5p2p(24)5p;8.0;168826;77250;14828;68;0.46;0.09;10;0.15;19;0.28;39;0.57
12;8;20250829;R5;P;HE;CH;1800;12;19200;D;S;3.6;30;20.0;118.22;2;4;CIOTOLA;LOUIS NOMIS;MME I. JANACKOVA KOPLIKOVA;F;4;12;34.0;57.5;5p2p5p8p3p4p(24)2p2p4p;7.3;63135;23940;12933;21;0.38;0.20;4;0.19;7;0.33;10;0.48
12;8;20250829;R5;P;HE;CH;1800;12;19200;D;S;3.6;30;20.0;118.22;3;3;DRIMYS;EDDY HARDOUIN;PIER. MENARD;H;5;7;34.5;59.5;(24)8p1p2p2p1p6p2p4p;9.6;36900;18500;0;10;0.50;0.00;2;0.20;5;0.50;3;0.30
12;8;20250829;R5;P;HE;CH;1800;12;19200;D;S;3.6;30;20.0;118.22;4;5;GRAN HABANO;STEPHANE BREUX;S. KOBAYASHI (S);M;4;11;33.5;58.5;0p6p0p6p6p3p0p(24)8p1p;8.5;36173;19000;4273;20;0.53;0.12;2;0.10;3;0.15;15;0.75
12;8;20250829;R5;P;HE;CH;1800;12;19200;D;S;3.6;30;20.0;118.22;5;1;LOVE IS GOLD;YOANN ROUSSET;PIER. MENARD;H;5;4;37.5;62.5;0p0p9p2p6p2p(24)7p7p6p;19.0;87740;51000;15260;23;0.58;0.17;3;0.13;5;0.22;15;0.65
12;8;20250829;R5;P;HE;CH;1800;12;19200;D;S;3.6;30;20.0;118.22;6;10;WARDAMA;CHRISTOPHER GROSBOIS;T. POCHE;F;7;2;29.5;54.5;1p1p2p2p1p2p3p(24)8p0p;4.1;36300;22850;33500;13;0.63;0.92;3;0.23;4;0.31;6;0.46
12;8;20250829;R5;P;HE;CH;1800;12;19200;D;S;3.6;30;20.0;118.22;7;7;SHARK SAMURAI;AXEL BARON;A. BARON;H;6;5;32.0;57.5;0p0p3p1p0p(22)1p2p3p1p;10.0;56290;39500;11780;17;0.70;0.21;4;0.24;4;0.24;9;0.53
12;8;20250829;R5;P;HE;CH;1800;12;19200;D;S;3.6;30;20.0;118.22;8;8;SAMAPY;MME AMBRE MOLINS;G. PANNIER;H;6;10;30.0;53.5;0p3p3p0p0p(24)6p4p5p1p;18.0;59490;28500;5480;20;0.48;0.09;3;0.15;6;0.30;11;0.55
12;8;20250829;R5;P;HE;CH;1800;12;19200;D;S;3.6;30;20.0;118.22;9;2;LORIA;GUILLAUME TROLLEY DE PREVAUX;M. MUNCH (S);F;4;6;35.0;60.0;7p5p1p4p(24)2p3p;14.0;20150;9000;11550;6;0.45;0.57;1;0.17;2;0.33;3;0.50
12;8;20250829;R5;P;HE;CH;1800;12;19200;D;S;3.6;30;20.0;118.22;10;6;FORCEFULL;ROSARIO MANGIONE;X. BLANCHET (S);F;4;8;33.5;58.5;8p3p7p1p(24)4p5p3p4p0p;8.9;28750;6500;14460;12;0.23;0.50;1;0.08;3;0.25;8;0.67
12;8;20250829;R5;P;HE;CH;1800;12;19200;D;S;3.6;30;20.0;118.22;11;9;MIA BELLA;MME JULIA LACROIX;F. FOUCHER;F;4;1;29.5;52.0;9p0p7p7p5p9p5p1p(24)9p;76.0;42550;19000;12300;21;0.45;0.29;2;0.10;5;0.24;14;0.67
12;8;20250829;R5;P;HE;CH;1800;12;19200;D;S;3.6;30;20.0;118.22;12;11;MARA WOOD;LEO ROUSSEL;N. LEENDERS;F;4;3;29.5;55.0;9p6p2p1p(24)5p0p0p0p0p;43.0;42030;19000;11730;21;0.45;0.28;2;0.10;5;0.24;14;0.67
