COURSE_ID;HIPPODROME_ID;DATE;REUNION;DISCIPLINE;PISTE_COURSE;TYPE_COURSE;DISTANCE;NOMBRE_PARTANT_COURSE;ALLOCATION_TOTAL_COURSE;CORDE;ETAT_TERRAIN;PENETROMETRIE;VENT_COURSE;TEMPERATURE_COURSE;CHRONO_COURSE;PLACE_CHEVAL;NUMERO_CHEVAL;CHEVAL_ID;JOCKEY_ID;ENTRAINEUR_ID;SEXE_CHEVAL;AGE_CHEVAL;STALLE_CHEVAL;VALEUR_HANDICAP_CHEVAL;POIDS_CHEVAL;MUSIQUE_CHEVAL;COTE_CHEVAL;GAINS_TOTAL_CHEVAL;GAIN_TOTAL_VICTOIRE_CHEVAL;GAIN_TOTAL_ANNEE_CHEVAL;NOMBRE_COURSE_TOTAL_CHEVAL;POURCENTAGE_GAIN_VICTOIRE_TOTAL_CHEVAL;POURCENTAGE_GAIN_ANNEE_CHEVAL;NOMBRE_VICTOIRE_TOTAL_CHEVAL;POURCENTAGE_VICTOIRE_CHEVAL;NOMBRE_PLACE_TOTAL_CHEVAL;POURCENTAGE_PLACE_TOTAL_CHEVAL;AUTRE_PLACE_TOTAL_CHEVAL;POURCENTAGE_AUTRE_TOTAL_CHEVAL;Name;Jockey_Partants;Jockey_Victoires;Name_entraineur;Entraineur_Partants;Entraineur_Gain_Moyen_Partant;Cheval;Cheval_Valeur;Cheval_Gain_Moyen;Jockey_Ratio_Victoire;MUSIQUE_PLACE_DERNIERE_COURSE;MUSIQUE_VICTOIRES_3_DERNIERES;MUSIQUE_PLACES_5_DERNIERES;MUSIQUE_DISCIPLINE_PERF;MUSIQUE_TAUX_INCIDENTS;COTE_CHEVAL_RANG;POIDS_CHEVAL_RANG;VALEUR_HANDICAP_CHEVAL_RANG;Jockey_Ratio_Victoire_RANG
3;1;20250828;0.0;P;PSF;0.0;1900;14;20200;D;0.0;3.8;26;20.0;117.72;1.0;5;BEETLEJUICE;MARVIN GRANDIN;L. BAUDRON (S);0.0;3;6;30.0;60.0;8p2p7p9p4p0p;15.0;4788;0.0;4788.0;6;0.0;1.0;0;0.0;1;0.17;5;0.83;0.0;452.0;55.0;0.0;85.0;1636.29;0.0;300.0;798.0;0.12168141592920353;8.0;0.0;1.0;6.0;0.0;8.0;4.0;3.0;6.0
3;1;20250828;0.0;P;PSF;0.0;1900;14;20200;D;0.0;3.8;26;20.0;117.72;2.0;1;GOLDEN ALQA;FABIEN LEFEBVRE;S. GOUVAZE (S);0.0;3;13;33.0;63.0;8p1p3p1p7p9p5p7p(24)3p;14.0;21275;11500.0;14275.0;9;0.54;0.67;2;0.22;2;0.22;5;0.56;0.0;204.0;24.0;0.0;138.0;1889.99;0.0;330.0;1784.38;0.11764705882352941;8.0;1.0;3.0;9.0;0.0;7.0;1.0;1.0;8.0
3;1;20250828;0.0;P;PSF;0.0;1900;14;20200;D;0.0;3.8;26;20.0;117.72;3.0;13;HAVIVA;MICKAEL BARZALONA;H. GREWE;0.0;3;14;27.5;57.5;5p6p0p;8.6;1105;0.0;1105.0;3;0.0;1.0;0;0.0;0;0.0;3;1.0;0.0;600.0;114.0;0.0;33.0;6378.12;0.0;275.0;368.33;0.19;5.0;0.0;0.0;3.0;0.0;3.0;8.0;7.0;1.0
3;1;20250828;0.0;P;PSF;0.0;1900;14;20200;D;0.0;3.8;26;20.0;117.72;4.0;8;FANTASTIC STAR;MME DELPHINE SANTIAGO;MME C. WHITFIELD;0.0;3;3;29.5;58.0;2p2p6p7p7p;8.9;6194;0.0;6194.0;5;0.0;1.0;0;0.0;2;0.4;3;0.6;0.0;420.0;50.0;0.0;40.0;1356.4;0.0;295.0;1238.8;0.11904761904761904;2.0;0.0;2.0;5.0;0.0;4.0;7.0;4.0;7.0
3;1;20250828;0.0;P;PSF;0.0;1900;14;20200;D;0.0;3.8;26;20.0;117.72;5.0;7;LA CACHUCHA;IORITZ MENDIZABAL;S. KOBAYASHI (S);0.0;3;8;29.5;59.5;0p6p3p0p0p(24)1p9p;22.0;9190;6250.0;2940.0;7;0.68;0.32;1;0.14;1;0.14;5;0.71;0.0;330.0;25.0;0.0;117.0;1728.61;0.0;295.0;588.0;0.07575757575757576;0.0;0.0;1.0;7.0;0.0;10.0;5.0;4.0;11.0
3;1;20250828;0.0;P;PSF;0.0;1900;14;20200;D;0.0;3.8;26;20.0;117.72;6.0;10;PADDOCKWOOD;STEPHANE BREUX;S. GOUVAZE (S);0.0;3;11;28.0;58.0;1p3p5p2p5p0p8p4p4p0p;15.0;12098;4050.0;12098.0;11;0.33;1.0;1;0.09;2;0.18;8;0.73;0.0;146.0;6.0;0.0;138.0;1889.99;0.0;280.0;1099.82;0.0410958904109589;1.0;1.0;3.0;10.0;0.0;8.0;7.0;6.0;14.0
3;1;20250828;0.0;P;PSF;0.0;1900;14;20200;D;0.0;3.8;26;20.0;117.72;7.0;4;BOBBY JEAN;ARTHUR VILCHIEN;S. WATTEL (S);0.0;3;1;30.0;57.5;1p5p3p5p0p0p3p0p6p;10.0;16018;9100.0;16018.0;9;0.57;1.0;1;0.11;2;0.22;6;0.67;0.0;68.0;5.0;0.0;226.0;3396.95;0.0;300.0;1779.78;0.07352941176470588;1.0;1.0;2.0;9.0;0.0;5.0;8.0;3.0;12.0
3;1;20250828;0.0;P;PSF;0.0;1900;14;20200;D;0.0;3.8;26;20.0;117.72;8.0;6;MR HARPAGON;THEO BACHELOT;S. WATTEL (S);0.0;3;12;30.0;60.0;5p0p(24)8p;14.0;1005;0.0;1005.0;3;0.0;1.0;0;0.0;0;0.0;3;1.0;0.0;571.0;50.0;0.0;226.0;3396.95;0.0;300.0;502.5;0.08756567425569177;5.0;0.0;0.0;3.0;0.0;7.0;4.0;3.0;9.0
3;1;20250828;0.0;P;PSF;0.0;1900;14;20200;D;0.0;3.8;26;20.0;117.72;9.0;2;HOT AND BEAUTY;CHRISTOPHE SOUMILLON;D. BONILLA (S);0.0;3;4;32.5;62.5;6p8p6p0p3p2p7p2p(24)6p;12.0;37400;0.0;12850.0;15;0.0;0.34;0;0.0;7;0.47;8;0.53;0.0;345.0;54.0;0.0;24.0;1465.5;0.0;325.0;1606.25;0.1565217391304348;6.0;0.0;1.0;9.0;0.0;6.0;2.0;2.0;3.0
3;1;20250828;0.0;P;PSF;0.0;1900;14;20200;D;0.0;3.8;26;20.0;117.72;10.0;12;HOODWINK;MAXIME GUYON;J. REYNIER (S);0.0;3;10;28.0;58.0;7p5p7p3p;20.0;4604;0.0;4604.0;4;0.0;1.0;0;0.0;1;0.25;3;0.75;0.0;939.0;148.0;0.0;282.0;4029.12;0.0;280.0;1151.0;0.15761448349307774;7.0;0.0;1.0;4.0;0.0;9.0;7.0;6.0;2.0
3;1;20250828;0.0;P;PSF;0.0;1900;14;20200;D;0.0;3.8;26;20.0;117.72;11.0;14;FILM DIRECTOR;CRISTIAN DEMURO;A. BOTTI (S);0.0;3;9;27.0;57.0;2p0p4p4p(24)0p5p;8.5;6897;0.0;5197.0;6;0.0;0.75;0;0.0;1;0.17;5;0.83;0.0;1020.0;156.0;0.0;175.0;2973.19;0.0;270.0;1299.25;0.15294117647058825;2.0;0.0;1.0;6.0;0.0;2.0;9.0;8.0;4.0
3;1;20250828;0.0;P;PSF;0.0;1900;14;20200;D;0.0;3.8;26;20.0;117.72;12.0;11;REJAITT;AURELIEN LEMAITRE;A. WEST;0.0;3;5;28.0;58.0;7p3p4p2p7p7p(24)7p;5.9;10168;0.0;10168.0;7;0.0;1.0;0;0.0;2;0.29;5;0.71;0.0;545.0;42.0;0.0;94.0;1206.01;0.0;280.0;1694.67;0.07706422018348624;7.0;0.0;2.0;7.0;0.0;1.0;7.0;6.0;10.0
3;1;20250828;0.0;P;PSF;0.0;1900;14;20200;D;0.0;3.8;26;20.0;117.72;13.0;9;SCARLET VALENTINE;ALEXIS POUCHIN;J. REYNIER (S);0.0;3;2;29.0;59.0;9p1p6p6p9p9p3p(24)5p0p;14.0;10900;6000.0;8850.0;11;0.55;0.81;1;0.09;1;0.09;9;0.82;0.0;619.0;86.0;0.0;282.0;4029.12;0.0;290.0;1264.29;0.13893376413570274;9.0;1.0;1.0;9.0;0.0;7.0;6.0;5.0;5.0
3;1;20250828;0.0;P;PSF;0.0;1900;14;20200;D;0.0;3.8;26;20.0;117.72;14.0;3;MONTERRICO;NUNO MANUEL LOPES DUARTE;TJ. MARTINS NOVAIS;0.0;3;7;32.5;61.0;8p6p0p3p2p1p2p(24)0p2p;35.0;24280;10500.0;19680.0;11;0.43;0.81;1;0.09;4;0.36;6;0.55;0.0;167.0;12.0;0.0;140.0;1338.78;0.0;325.0;2811.43;0.0718562874251497;8.0;0.0;2.0;9.0;0.0;11.0;3.0;2.0;13.0
